profissao_atual,anos_experiencia,nivel_atual,objetivo_principal,area_interesse,tempo_disponivel_estudo,num_habilidades,habilidades_atuais,motivacao,score_adequacao
QA Tester,7,Sênior,Realocar Carreira,Desenvolvimento Web,15,2,"Node.js,CSS",5,100.0
Gerente de Projetos,12,Sênior,Atualizar Carreira,DevOps,10,4,"Terraform,AWS,CI/CD,Kubernetes",9,100.0
Gerente de Projetos,10,Sênior,Atualizar Carreira,DevOps,20,2,"Kubernetes,Terraform",5,100.0
QA Tester,6,Pleno,Realocar Carreira,Cloud Computing,10,2,"Azure,Containers",9,94.14
Analista de Dados,12,Sênior,Atualizar Carreira,Data Science,5,4,"R,Python,Machine Learning,SQL",8,100.0
Analista de Sistemas,17,Sênior,Realocar Carreira,Segurança da Informação,20,5,"SIEM,Firewall,Criptografia,Pentest,OWASP",8,100.0
QA Tester,11,Sênior,Realocar Carreira,Cloud Computing,15,2,"GCP,Containers",7,100.0
Analista de Sistemas,12,Sênior,Realocar Carreira,Desenvolvimento Web,20,5,"Node.js,Python,CSS,HTML,Java",10,100.0
QA Tester,11,Sênior,Realocar Carreira,Cloud Computing,15,3,"GCP,Serverless,Azure",5,100.0
Designer,5,Pleno,Atualizar Carreira,Desenvolvimento Web,15,2,"Python,JavaScript",8,100.0
Administrador de Redes,2,Júnior,Realocar Carreira,Inteligência Artificial,25,5,"NLP,Computer Vision,Python,PyTorch,TensorFlow",8,100.0
DBA,0,Júnior,Realocar Carreira,Inteligência Artificial,10,4,"TensorFlow,PyTorch,Computer Vision,Python",8,96.9
QA Tester,17,Sênior,Realocar Carreira,Cloud Computing,20,4,"Serverless,GCP,Azure,Containers",9,100.0
Analista de Sistemas,7,Sênior,Atualizar Carreira,Data Science,15,5,"Machine Learning,SQL,Pandas,NumPy,R",7,100.0
Gerente de Projetos,13,Sênior,Atualizar Carreira,Data Science,10,3,"Machine Learning,R,Python",6,100.0
Designer,4,Pleno,Atualizar Carreira,UX/UI Design,15,3,"Prototipagem,Sketch,Figma",9,100.0
Gerente de Projetos,15,Sênior,Realocar Carreira,UX/UI Design,15,2,"Sketch,Design Thinking",7,99.78
QA Tester,18,Sênior,Realocar Carreira,Inteligência Artificial,20,3,"PyTorch,NLP,TensorFlow",8,100.0
QA Tester,3,Pleno,Realocar Carreira,Cloud Computing,10,4,"Serverless,AWS,Azure,GCP",8,100.0
Desenvolvedor,18,Sênior,Atualizar Carreira,Mobile,20,2,"iOS,Kotlin",8,100.0
Designer,18,Sênior,Realocar Carreira,Segurança da Informação,15,5,"Firewall,Pentest,Criptografia,OWASP,SIEM",8,100.0
Desenvolvedor,4,Pleno,Atualizar Carreira,Desenvolvimento Web,25,5,"Java,React,CSS,Node.js,JavaScript",8,100.0
Gerente de Projetos,3,Pleno,Realocar Carreira,Segurança da Informação,20,4,"OWASP,Firewall,Pentest,SIEM",6,100.0
QA Tester,16,Sênior,Atualizar Carreira,Segurança da Informação,15,4,"OWASP,SIEM,Pentest,Criptografia",5,100.0
QA Tester,7,Sênior,Realocar Carreira,DevOps,15,2,"Docker,Kubernetes",6,100.0
QA Tester,10,Sênior,Atualizar Carreira,Desenvolvimento Web,20,2,"Node.js,Python",10,100.0
QA Tester,6,Pleno,Atualizar Carreira,DevOps,20,4,"Kubernetes,CI/CD,Docker,Linux",5,100.0
QA Tester,3,Pleno,Atualizar Carreira,Segurança da Informação,15,3,"Pentest,SIEM,Criptografia",7,100.0
Analista de Sistemas,12,Sênior,Realocar Carreira,DevOps,15,5,"Terraform,CI/CD,Linux,AWS,Git",6,100.0
DBA,1,Júnior,Realocar Carreira,Mobile,25,4,"Kotlin,Android,React Native,Flutter",9,100.0
Designer,20,Sênior,Realocar Carreira,DevOps,20,3,"Terraform,CI/CD,Linux",8,100.0
Analista de Sistemas,17,Sênior,Atualizar Carreira,Desenvolvimento Web,20,3,"HTML,CSS,Java",6,100.0
Analista de Sistemas,1,Júnior,Atualizar Carreira,Cloud Computing,5,5,"Azure,Serverless,Containers,GCP,AWS",5,96.83
Gerente de Projetos,17,Sênior,Atualizar Carreira,Data Science,15,5,"SQL,R,NumPy,Machine Learning,Estatística",9,100.0
Suporte Técnico,1,Júnior,Atualizar Carreira,Segurança da Informação,25,4,"Firewall,SIEM,Criptografia,OWASP",5,100.0
Administrador de Redes,0,Júnior,Atualizar Carreira,Cloud Computing,10,2,"Azure,Serverless",5,90.76
Administrador de Redes,3,Pleno,Realocar Carreira,UX/UI Design,15,4,"Sketch,Prototipagem,Adobe XD,Figma",9,100.0
Analista de Dados,15,Sênior,Realocar Carreira,Desenvolvimento Web,15,5,"Node.js,Java,HTML,React,JavaScript",5,100.0
Analista de Sistemas,3,Pleno,Realocar Carreira,Desenvolvimento Web,25,3,"CSS,Node.js,JavaScript",9,100.0
Administrador de Redes,1,Júnior,Realocar Carreira,Cloud Computing,10,4,"GCP,Containers,AWS,Azure",10,100.0
QA Tester,10,Sênior,Atualizar Carreira,DevOps,10,3,"CI/CD,Docker,Terraform",9,100.0
DBA,5,Pleno,Atualizar Carreira,Data Science,10,3,"Machine Learning,Pandas,R",8,100.0
Administrador de Redes,10,Sênior,Atualizar Carreira,Cloud Computing,20,5,"Azure,AWS,GCP,Containers,Serverless",8,100.0
Gerente de Projetos,11,Sênior,Realocar Carreira,DevOps,15,2,"Git,CI/CD",6,100.0
Designer,11,Sênior,Atualizar Carreira,Mobile,25,4,"Flutter,Android,iOS,Kotlin",5,100.0
Gerente de Projetos,7,Sênior,Realocar Carreira,Inteligência Artificial,5,2,"Python,PyTorch",9,100.0
DBA,3,Pleno,Atualizar Carreira,Data Science,15,5,"Estatística,Pandas,Python,NumPy,Machine Learning",7,100.0
Analista de Dados,11,Sênior,Realocar Carreira,Data Science,20,4,"NumPy,R,Machine Learning,Python",8,100.0
Desenvolvedor,10,Sênior,Realocar Carreira,Mobile,15,3,"Flutter,Android,iOS",10,100.0
Desenvolvedor,17,Sênior,Atualizar Carreira,Desenvolvimento Web,15,3,"Java,React,Node.js",9,100.0
QA Tester,17,Sênior,Realocar Carreira,UX/UI Design,15,2,"Adobe XD,Prototipagem",7,100.0
Analista de Sistemas,12,Sênior,Atualizar Carreira,Data Science,10,5,"Estatística,Python,Pandas,R,NumPy",8,100.0
Analista de Dados,18,Sênior,Realocar Carreira,Segurança da Informação,5,3,"OWASP,Pentest,Criptografia",7,93.65
Desenvolvedor,1,Júnior,Atualizar Carreira,Desenvolvimento Web,30,3,"HTML,JavaScript,Python",8,100.0
Desenvolvedor,6,Pleno,Realocar Carreira,Inteligência Artificial,20,2,"PyTorch,TensorFlow",8,100.0
Designer,4,Pleno,Realocar Carreira,Mobile,10,4,"Flutter,Kotlin,React Native,iOS",7,100.0
Desenvolvedor,6,Pleno,Atualizar Carreira,Desenvolvimento Web,5,4,"Python,React,Java,Node.js",9,100.0
Suporte Técnico,19,Sênior,Realocar Carreira,Data Science,20,3,"Machine Learning,Estatística,SQL",7,100.0
Designer,3,Pleno,Atualizar Carreira,Mobile,15,5,"Kotlin,iOS,React Native,Android,Swift",6,100.0
Designer,7,Sênior,Realocar Carreira,Mobile,20,5,"Swift,iOS,Android,React Native,Kotlin",5,100.0
Administrador de Redes,13,Sênior,Realocar Carreira,Data Science,25,2,"R,NumPy",8,100.0
DBA,1,Júnior,Realocar Carreira,Mobile,10,2,"Flutter,iOS",9,96.81
Administrador de Redes,8,Sênior,Realocar Carreira,Mobile,15,2,"Android,iOS",10,100.0
Suporte Técnico,20,Sênior,Realocar Carreira,DevOps,5,5,"Kubernetes,Docker,Terraform,AWS,CI/CD",9,100.0
Administrador de Redes,4,Pleno,Realocar Carreira,DevOps,10,3,"AWS,Docker,Kubernetes",10,100.0
DBA,20,Sênior,Atualizar Carreira,DevOps,15,3,"Linux,Docker,AWS",5,100.0
Administrador de Redes,19,Sênior,Realocar Carreira,UX/UI Design,10,2,"Adobe XD,Design Thinking",6,93.53
Analista de Dados,7,Sênior,Realocar Carreira,Desenvolvimento Web,10,3,"JavaScript,React,CSS",5,99.11
Suporte Técnico,5,Pleno,Atualizar Carreira,Segurança da Informação,10,2,"OWASP,Pentest",5,98.55
QA Tester,16,Sênior,Realocar Carreira,Mobile,20,5,"Android,iOS,Swift,React Native,Flutter",8,100.0
Analista de Sistemas,0,Júnior,Realocar Carreira,Mobile,15,2,"iOS,Flutter",7,90.6
Desenvolvedor,20,Sênior,Realocar Carreira,Inteligência Artificial,25,2,"TensorFlow,Python",6,100.0
Analista de Dados,11,Sênior,Realocar Carreira,Segurança da Informação,20,2,"Firewall,Pentest",7,100.0
Suporte Técnico,17,Sênior,Atualizar Carreira,DevOps,15,3,"Linux,Kubernetes,Docker",5,100.0
Gerente de Projetos,4,Pleno,Realocar Carreira,Desenvolvimento Web,10,5,"Java,React,CSS,Python,Node.js",8,100.0
Suporte Técnico,0,Júnior,Atualizar Carreira,Segurança da Informação,10,4,"SIEM,Pentest,OWASP,Firewall",8,100.0
Administrador de Redes,9,Sênior,Atualizar Carreira,Cloud Computing,15,3,"Containers,GCP,Serverless",9,100.0
Designer,8,Sênior,Realocar Carreira,Mobile,15,4,"Flutter,iOS,Android,Swift",6,100.0
DBA,1,Júnior,Atualizar Carreira,Cloud Computing,10,4,"Serverless,Azure,Containers,AWS",8,100.0
Gerente de Projetos,8,Sênior,Atualizar Carreira,Data Science,20,4,"SQL,Python,Machine Learning,NumPy",10,100.0
Gerente de Projetos,0,Júnior,Realocar Carreira,Mobile,10,3,"iOS,Flutter,Swift",5,81.16
Designer,9,Sênior,Atualizar Carreira,Desenvolvimento Web,25,2,"Java,HTML",9,100.0
Analista de Dados,3,Pleno,Realocar Carreira,Mobile,25,3,"iOS,Swift,Flutter",10,100.0
Gerente de Projetos,15,Sênior,Realocar Carreira,Data Science,20,3,"R,Pandas,Estatística",8,100.0
QA Tester,8,Sênior,Realocar Carreira,Desenvolvimento Web,15,2,"Python,Node.js",9,100.0
Suporte Técnico,14,Sênior,Realocar Carreira,Cloud Computing,15,3,"AWS,Serverless,Azure",7,100.0
Analista de Sistemas,0,Júnior,Realocar Carreira,Cloud Computing,20,3,"Azure,AWS,Containers",9,100.0
QA Tester,13,Sênior,Atualizar Carreira,DevOps,10,4,"AWS,Git,Linux,Docker",10,100.0
Gerente de Projetos,0,Júnior,Atualizar Carreira,Cloud Computing,20,2,"GCP,Serverless",7,100.0
DBA,5,Pleno,Realocar Carreira,Mobile,10,4,"React Native,iOS,Swift,Android",7,97.3
Gerente de Projetos,6,Pleno,Realocar Carreira,Mobile,10,4,"iOS,Android,Kotlin,React Native",10,100.0
Designer,20,Sênior,Atualizar Carreira,UX/UI Design,20,4,"Adobe XD,Figma,Design Thinking,Sketch",8,100.0
Analista de Dados,9,Sênior,Realocar Carreira,UX/UI Design,15,5,"Design Thinking,Adobe XD,Sketch,Prototipagem,Figma",9,100.0
Desenvolvedor,3,Pleno,Realocar Carreira,Cloud Computing,10,2,"GCP,Azure",7,95.67
Gerente de Projetos,8,Sênior,Atualizar Carreira,Data Science,20,4,"Machine Learning,Estatística,R,NumPy",9,100.0
Designer,14,Sênior,Realocar Carreira,Inteligência Artificial,20,4,"NLP,TensorFlow,PyTorch,Python",9,100.0
Gerente de Projetos,17,Sênior,Realocar Carreira,Segurança da Informação,5,4,"Pentest,Firewall,SIEM,Criptografia",6,100.0
QA Tester,14,Sênior,Realocar Carreira,Desenvolvimento Web,10,4,"HTML,React,Node.js,CSS",8,100.0
Desenvolvedor,8,Sênior,Realocar Carreira,DevOps,20,5,"Linux,CI/CD,Terraform,AWS,Docker",7,100.0
Gerente de Projetos,12,Sênior,Realocar Carreira,UX/UI Design,15,2,"Adobe XD,Sketch",6,100.0
QA Tester,16,Sênior,Realocar Carreira,Desenvolvimento Web,30,2,"CSS,React",9,100.0
Designer,2,Júnior,Realocar Carreira,Data Science,10,2,"R,SQL",5,82.71
QA Tester,11,Sênior,Realocar Carreira,Cloud Computing,15,4,"Serverless,Containers,AWS,Azure",7,100.0
Designer,10,Sênior,Realocar Carreira,Desenvolvimento Web,20,4,"Node.js,Java,HTML,JavaScript",8,100.0
Analista de Sistemas,16,Sênior,Realocar Carreira,UX/UI Design,30,5,"Design Thinking,Figma,Adobe XD,Sketch,Prototipagem",7,100.0
QA Tester,18,Sênior,Realocar Carreira,Inteligência Artificial,20,4,"Python,TensorFlow,Computer Vision,PyTorch",7,100.0
Desenvolvedor,1,Júnior,Realocar Carreira,Cloud Computing,20,2,"GCP,Azure",6,97.64
Analista de Dados,4,Pleno,Atualizar Carreira,Data Science,5,4,"R,NumPy,Python,Pandas",8,100.0
Analista de Dados,15,Sênior,Atualizar Carreira,Data Science,20,5,"Python,SQL,Machine Learning,NumPy,Pandas",8,100.0
Gerente de Projetos,9,Sênior,Realocar Carreira,Inteligência Artificial,15,5,"Python,NLP,TensorFlow,PyTorch,Computer Vision",10,100.0
Desenvolvedor,14,Sênior,Realocar Carreira,Data Science,15,3,"Estatística,SQL,Pandas",5,100.0
QA Tester,14,Sênior,Atualizar Carreira,Desenvolvimento Web,10,3,"JavaScript,HTML,Python",7,100.0
Designer,6,Pleno,Atualizar Carreira,Mobile,30,5,"Swift,Android,iOS,React Native,Flutter",5,100.0
Gerente de Projetos,4,Pleno,Realocar Carreira,UX/UI Design,25,4,"Figma,Sketch,Adobe XD,Design Thinking",10,100.0
Analista de Dados,7,Sênior,Atualizar Carreira,Inteligência Artificial,5,5,"Computer Vision,NLP,TensorFlow,Python,PyTorch",10,100.0
Suporte Técnico,15,Sênior,Atualizar Carreira,DevOps,20,5,"Terraform,Linux,Git,Docker,CI/CD",9,100.0
Designer,10,Sênior,Atualizar Carreira,Mobile,5,5,"iOS,React Native,Kotlin,Flutter,Swift",10,100.0
Desenvolvedor,17,Sênior,Atualizar Carreira,DevOps,20,4,"Git,AWS,Docker,Linux",9,100.0
Analista de Sistemas,18,Sênior,Atualizar Carreira,Cloud Computing,15,5,"AWS,Azure,Serverless,Containers,GCP",6,100.0
Designer,4,Pleno,Atualizar Carreira,Desenvolvimento Web,20,2,"Node.js,Python",7,100.0
DBA,17,Sênior,Atualizar Carreira,Data Science,20,4,"Machine Learning,Pandas,R,Estatística",10,100.0
Desenvolvedor,18,Sênior,Atualizar Carreira,Desenvolvimento Web,10,5,"Node.js,React,HTML,JavaScript,CSS",10,100.0
DBA,10,Sênior,Atualizar Carreira,Cloud Computing,25,5,"Serverless,GCP,AWS,Containers,Azure",6,100.0
Desenvolvedor,4,Pleno,Realocar Carreira,Mobile,5,4,"Android,iOS,React Native,Flutter",6,98.57
Analista de Dados,19,Sênior,Atualizar Carreira,Inteligência Artificial,15,5,"Python,TensorFlow,NLP,PyTorch,Computer Vision",7,100.0
Analista de Dados,20,Sênior,Realocar Carreira,Cloud Computing,10,4,"GCP,Containers,Azure,AWS",5,100.0
Suporte Técnico,13,Sênior,Realocar Carreira,UX/UI Design,30,2,"Prototipagem,Sketch",9,100.0
Analista de Sistemas,18,Sênior,Realocar Carreira,Mobile,10,4,"React Native,Swift,iOS,Android",8,100.0
Administrador de Redes,4,Pleno,Atualizar Carreira,Segurança da Informação,20,3,"Criptografia,Pentest,Firewall",8,100.0
Suporte Técnico,16,Sênior,Atualizar Carreira,DevOps,10,5,"AWS,Docker,Linux,CI/CD,Terraform",8,100.0
DBA,5,Pleno,Realocar Carreira,Inteligência Artificial,20,5,"Computer Vision,Python,PyTorch,TensorFlow,NLP",5,100.0
Administrador de Redes,9,Sênior,Atualizar Carreira,DevOps,15,2,"CI/CD,Git",8,100.0
Analista de Dados,14,Sênior,Atualizar Carreira,Data Science,20,5,"Estatística,NumPy,Pandas,Python,SQL",5,100.0
Gerente de Projetos,11,Sênior,Atualizar Carreira,Data Science,10,5,"Pandas,Estatística,NumPy,Python,SQL",9,100.0
Gerente de Projetos,13,Sênior,Realocar Carreira,Cloud Computing,25,2,"AWS,Serverless",8,100.0
QA Tester,20,Sênior,Realocar Carreira,UX/UI Design,15,5,"Figma,Design Thinking,Sketch,Adobe XD,Prototipagem",10,100.0
QA Tester,2,Júnior,Atualizar Carreira,DevOps,20,2,"Kubernetes,Terraform",10,100.0
Suporte Técnico,20,Sênior,Realocar Carreira,Segurança da Informação,20,2,"Criptografia,Firewall",8,100.0
Desenvolvedor,0,Júnior,Realocar Carreira,Desenvolvimento Web,10,5,"HTML,React,Java,Python,Node.js",7,98.91
Analista de Dados,14,Sênior,Realocar Carreira,Mobile,20,5,"Kotlin,Android,React Native,Swift,iOS",9,100.0
Designer,17,Sênior,Atualizar Carreira,Mobile,20,4,"Android,Swift,Flutter,iOS",9,100.0
Desenvolvedor,19,Sênior,Atualizar Carreira,Desenvolvimento Web,20,2,"Node.js,Java",8,100.0
DBA,7,Sênior,Atualizar Carreira,Data Science,20,3,"R,Python,Machine Learning",5,100.0
Designer,0,Júnior,Realocar Carreira,Cloud Computing,25,3,"Serverless,GCP,AWS",7,100.0
QA Tester,2,Júnior,Realocar Carreira,Desenvolvimento Web,15,3,"Node.js,CSS,HTML",7,95.76
Analista de Sistemas,5,Pleno,Atualizar Carreira,Desenvolvimento Web,25,5,"React,Node.js,Java,JavaScript,HTML",8,100.0
Analista de Dados,3,Pleno,Realocar Carreira,DevOps,15,4,"AWS,Git,Kubernetes,Docker",5,100.0
DBA,11,Sênior,Atualizar Carreira,Cloud Computing,25,5,"Serverless,Azure,Containers,AWS,GCP",8,100.0
Administrador de Redes,12,Sênior,Atualizar Carreira,Segurança da Informação,10,3,"Firewall,Criptografia,SIEM",6,100.0
QA Tester,18,Sênior,Realocar Carreira,DevOps,20,5,"Terraform,Kubernetes,AWS,Git,Linux",6,100.0
Suporte Técnico,17,Sênior,Atualizar Carreira,Segurança da Informação,10,5,"Criptografia,Firewall,SIEM,OWASP,Pentest",10,100.0
Designer,2,Júnior,Realocar Carreira,Desenvolvimento Web,20,2,"JavaScript,Java",6,98.28
Administrador de Redes,13,Sênior,Realocar Carreira,Desenvolvimento Web,15,3,"Java,CSS,Node.js",7,100.0
Designer,17,Sênior,Atualizar Carreira,Desenvolvimento Web,15,5,"Java,Node.js,React,HTML,Python",7,100.0
Designer,12,Sênior,Realocar Carreira,Inteligência Artificial,5,3,"TensorFlow,PyTorch,NLP",6,100.0
DBA,0,Júnior,Realocar Carreira,Segurança da Informação,25,5,"SIEM,Pentest,OWASP,Criptografia,Firewall",7,100.0
Analista de Dados,8,Sênior,Atualizar Carreira,Data Science,10,3,"R,SQL,Estatística",10,100.0
Designer,7,Sênior,Atualizar Carreira,UX/UI Design,10,3,"Prototipagem,Design Thinking,Sketch",10,100.0
Desenvolvedor,7,Sênior,Realocar Carreira,Data Science,10,3,"NumPy,Machine Learning,SQL",10,100.0
DBA,14,Sênior,Atualizar Carreira,Cloud Computing,20,2,"Serverless,Azure",7,100.0
Designer,1,Júnior,Realocar Carreira,Segurança da Informação,10,5,"Firewall,Criptografia,Pentest,SIEM,OWASP",10,98.82
Analista de Dados,13,Sênior,Realocar Carreira,Cloud Computing,15,4,"Azure,AWS,Serverless,Containers",7,100.0
DBA,15,Sênior,Realocar Carreira,UX/UI Design,15,4,"Design Thinking,Prototipagem,Sketch,Figma",8,100.0
Gerente de Projetos,12,Sênior,Atualizar Carreira,Cloud Computing,10,4,"AWS,Azure,GCP,Containers",8,100.0
QA Tester,1,Júnior,Realocar Carreira,Inteligência Artificial,30,4,"NLP,TensorFlow,Computer Vision,PyTorch",8,100.0
Analista de Dados,18,Sênior,Atualizar Carreira,Data Science,10,3,"Machine Learning,SQL,Python",9,100.0
Analista de Dados,12,Sênior,Atualizar Carreira,Inteligência Artificial,25,2,"TensorFlow,PyTorch",10,100.0
Analista de Sistemas,9,Sênior,Realocar Carreira,Data Science,15,2,"Python,NumPy",7,100.0
Desenvolvedor,3,Pleno,Atualizar Carreira,Desenvolvimento Web,25,5,"Node.js,Java,CSS,React,HTML",7,100.0
QA Tester,12,Sênior,Atualizar Carreira,Segurança da Informação,15,3,"OWASP,Firewall,SIEM",6,100.0
Suporte Técnico,14,Sênior,Realocar Carreira,Segurança da Informação,20,3,"OWASP,Pentest,Criptografia",6,100.0
Administrador de Redes,13,Sênior,Atualizar Carreira,Cloud Computing,10,2,"Containers,Serverless",6,100.0
Designer,20,Sênior,Atualizar Carreira,Mobile,10,5,"Swift,Android,React Native,Kotlin,Flutter",6,100.0
Desenvolvedor,10,Sênior,Realocar Carreira,DevOps,5,3,"Kubernetes,Git,AWS",6,91.08
Gerente de Projetos,6,Pleno,Realocar Carreira,DevOps,15,4,"CI/CD,Kubernetes,Docker,AWS",7,100.0
Desenvolvedor,16,Sênior,Realocar Carreira,UX/UI Design,5,3,"Sketch,Figma,Adobe XD",8,98.7
Analista de Dados,13,Sênior,Realocar Carreira,Mobile,20,2,"React Native,Android",7,100.0
Designer,12,Sênior,Atualizar Carreira,Mobile,25,2,"Android,iOS",6,100.0
Gerente de Projetos,4,Pleno,Realocar Carreira,UX/UI Design,15,3,"Figma,Design Thinking,Adobe XD",9,100.0
Gerente de Projetos,3,Pleno,Realocar Carreira,Cloud Computing,10,4,"AWS,Serverless,Azure,Containers",8,100.0
Suporte Técnico,8,Sênior,Realocar Carreira,UX/UI Design,10,3,"Design Thinking,Prototipagem,Adobe XD",8,100.0
Analista de Sistemas,11,Sênior,Realocar Carreira,Desenvolvimento Web,10,4,"HTML,Java,Python,Node.js",7,100.0
Designer,18,Sênior,Atualizar Carreira,Mobile,15,3,"Swift,iOS,React Native",10,100.0
Designer,6,Pleno,Realocar Carreira,Inteligência Artificial,20,4,"Python,TensorFlow,PyTorch,NLP",6,100.0
Desenvolvedor,10,Sênior,Atualizar Carreira,Desenvolvimento Web,20,3,"Node.js,HTML,Java",6,100.0
QA Tester,10,Sênior,Realocar Carreira,Data Science,25,3,"Pandas,SQL,Estatística",8,100.0
DBA,9,Sênior,Realocar Carreira,Inteligência Artificial,20,3,"PyTorch,NLP,Python",5,100.0
Analista de Sistemas,19,Sênior,Realocar Carreira,Desenvolvimento Web,30,5,"JavaScript,Node.js,Python,React,Java",6,100.0
DBA,3,Pleno,Realocar Carreira,Data Science,20,3,"NumPy,SQL,Pandas",9,100.0
Designer,9,Sênior,Atualizar Carreira,Desenvolvimento Web,20,3,"Node.js,JavaScript,CSS",9,100.0
Suporte Técnico,0,Júnior,Atualizar Carreira,Cloud Computing,10,5,"Azure,AWS,Serverless,GCP,Containers",8,100.0
DBA,20,Sênior,Realocar Carreira,Cloud Computing,5,3,"Azure,GCP,AWS",10,100.0
Suporte Técnico,4,Pleno,Atualizar Carreira,Segurança da Informação,10,4,"OWASP,Firewall,Criptografia,SIEM",5,93.82
Gerente de Projetos,18,Sênior,Realocar Carreira,Inteligência Artificial,25,4,"TensorFlow,Computer Vision,Python,PyTorch",9,100.0
Designer,1,Júnior,Realocar Carreira,Desenvolvimento Web,15,2,"HTML,CSS",7,88.01
QA Tester,15,Sênior,Atualizar Carreira,Segurança da Informação,20,3,"OWASP,Firewall,Pentest",6,100.0
QA Tester,15,Sênior,Realocar Carreira,Mobile,10,4,"Swift,Flutter,React Native,Android",5,100.0
Suporte Técnico,6,Pleno,Realocar Carreira,DevOps,20,2,"Git,Kubernetes",8,100.0
QA Tester,10,Sênior,Realocar Carreira,Inteligência Artificial,30,5,"NLP,Python,Computer Vision,TensorFlow,PyTorch",9,100.0
Suporte Técnico,8,Sênior,Atualizar Carreira,Segurança da Informação,30,4,"SIEM,Pentest,Firewall,OWASP",7,100.0
Suporte Técnico,5,Pleno,Realocar Carreira,Data Science,10,4,"Pandas,R,Python,Estatística",5,96.82
Gerente de Projetos,11,Sênior,Realocar Carreira,DevOps,25,2,"Kubernetes,CI/CD",10,100.0
Gerente de Projetos,6,Pleno,Realocar Carreira,UX/UI Design,10,5,"Design Thinking,Adobe XD,Figma,Prototipagem,Sketch",5,100.0
Desenvolvedor,18,Sênior,Realocar Carreira,Segurança da Informação,5,5,"SIEM,Firewall,OWASP,Criptografia,Pentest",8,100.0
Gerente de Projetos,18,Sênior,Realocar Carreira,Cloud Computing,20,3,"AWS,GCP,Containers",5,100.0
Analista de Dados,9,Sênior,Atualizar Carreira,Inteligência Artificial,10,3,"NLP,Computer Vision,PyTorch",9,100.0
Suporte Técnico,1,Júnior,Atualizar Carreira,Segurança da Informação,20,5,"SIEM,Firewall,OWASP,Criptografia,Pentest",5,100.0
DBA,2,Júnior,Realocar Carreira,DevOps,10,5,"AWS,Docker,Kubernetes,Linux,Terraform",6,99.93
Designer,3,Pleno,Realocar Carreira,Inteligência Artificial,15,5,"Computer Vision,PyTorch,TensorFlow,NLP,Python",10,100.0
Analista de Sistemas,10,Sênior,Atualizar Carreira,Data Science,15,3,"Pandas,Machine Learning,R",6,100.0
DBA,7,Sênior,Realocar Carreira,UX/UI Design,15,3,"Sketch,Design Thinking,Figma",5,100.0
Designer,9,Sênior,Atualizar Carreira,Desenvolvimento Web,5,2,"CSS,Java",7,100.0
Analista de Dados,19,Sênior,Realocar Carreira,Segurança da Informação,10,4,"SIEM,Pentest,Firewall,OWASP",6,100.0
Suporte Técnico,0,Júnior,Realocar Carreira,Mobile,15,2,"React Native,Android",6,92.55
Analista de Dados,15,Sênior,Atualizar Carreira,Cloud Computing,20,2,"Serverless,GCP",9,100.0
Designer,4,Pleno,Realocar Carreira,Data Science,15,3,"R,Python,Machine Learning",6,100.0
Gerente de Projetos,5,Pleno,Realocar Carreira,DevOps,25,5,"Terraform,Docker,AWS,CI/CD,Linux",7,100.0
DBA,12,Sênior,Realocar Carreira,UX/UI Design,30,2,"Prototipagem,Sketch",5,100.0
DBA,9,Sênior,Realocar Carreira,Desenvolvimento Web,25,2,"JavaScript,Java",8,100.0
Gerente de Projetos,10,Sênior,Atualizar Carreira,Data Science,5,3,"Python,NumPy,Pandas",5,100.0
Administrador de Redes,14,Sênior,Realocar Carreira,Mobile,15,5,"Android,Kotlin,Swift,Flutter,React Native",10,100.0
DBA,15,Sênior,Realocar Carreira,Segurança da Informação,15,2,"SIEM,Criptografia",6,100.0
Analista de Sistemas,17,Sênior,Atualizar Carreira,Cloud Computing,20,4,"AWS,GCP,Serverless,Azure",10,100.0
DBA,12,Sênior,Realocar Carreira,DevOps,20,3,"Docker,Linux,AWS",8,100.0
Desenvolvedor,19,Sênior,Atualizar Carreira,DevOps,10,4,"Docker,CI/CD,Git,Kubernetes",8,100.0
QA Tester,15,Sênior,Realocar Carreira,Segurança da Informação,5,4,"Firewall,Criptografia,Pentest,OWASP",5,97.69
Analista de Dados,10,Sênior,Realocar Carreira,UX/UI Design,15,4,"Adobe XD,Sketch,Design Thinking,Prototipagem",7,100.0
Analista de Sistemas,12,Sênior,Realocar Carreira,Cloud Computing,5,3,"AWS,Containers,GCP",7,100.0
DBA,20,Sênior,Atualizar Carreira,Data Science,15,5,"SQL,R,Python,Machine Learning,NumPy",5,100.0
Administrador de Redes,1,Júnior,Realocar Carreira,Desenvolvimento Web,15,2,"HTML,React",7,91.65
Analista de Sistemas,18,Sênior,Atualizar Carreira,Desenvolvimento Web,10,4,"CSS,JavaScript,Node.js,Java",8,100.0
Analista de Sistemas,10,Sênior,Atualizar Carreira,Data Science,20,4,"Estatística,R,Machine Learning,Pandas",7,100.0
Analista de Dados,7,Sênior,Realocar Carreira,Desenvolvimento Web,15,3,"Python,Java,JavaScript",6,100.0
Administrador de Redes,9,Sênior,Realocar Carreira,Mobile,5,2,"Flutter,Android",5,89.73
QA Tester,14,Sênior,Realocar Carreira,UX/UI Design,15,5,"Design Thinking,Figma,Prototipagem,Sketch,Adobe XD",9,100.0
Administrador de Redes,3,Pleno,Atualizar Carreira,Segurança da Informação,10,2,"OWASP,Pentest",9,100.0
